20  
22  
24  
26  
30  
35  
40  
45  
50  
55  
60  
65  
70  
75  
80  
20  -22.33654274
22  -24.70294637
24  -26.23891630
26  -27.18219390
30  -28.56165784
35  -29.82468426
40  -30.60071935
45  -30.99266311
50  -31.19653755
55  -31.30358086
60  -31.35839039
65  -31.38436152
70  -31.39348444
75  -31.39622481
80  -31.39711012
20  -22.33654274
22  -24.70294637
24  -26.23891630
26  -27.18219390
30  -28.56165784
35  -29.82468426
40  -30.60071935
45  -30.99266311
50  -31.19653755
55  -31.30358086
60  -31.35839039
65  -31.38436152
70  -31.39348444
75  -31.39622476
80  -31.39711012
20  -22.33654274
22  -24.70294637
24  -26.23891630
26  -27.18219390
30  -28.56165784
35  -29.82468426
40  -30.60071935
45  -30.99266311
50  -31.19653755
55  -31.30358086
60  -31.35839039
65  -31.38436152
70  -31.39348444
75  -31.39622480
80  -31.39711012
20  -22.33654274
22  -24.70294637
24  
